,open,close,high,low,volume
0,16472.1889,16246.093,16472.1889,16229.858999999999,26724.0
1,16246.093,16174.723,16258.468,16128.698,21768.0
2,16174.723,16008.656,16186.893999999998,16006.525,16540.0
3,16008.656,15757.466999999999,16015.661,15562.84,29928.0
4,15762.468,15803.208,15803.208,15738.747,22118.0
5,15803.208,15810.498,15822.008,15761.107,11356.0
6,15810.052,15789.128999999999,15827.186000000002,15786.764,12698.0
7,15791.961000000001,15865.113000000001,15935.308,15785.623,17678.0
8,15862.035,15895.317,15908.19,15862.035,5424.0
9,15897.27,15882.184,15911.39,15882.184,3278.0
10,15878.287,15888.208999999999,15888.208999999999,15803.418,9656.0
11,15888.208999999999,15882.778,15890.271999999999,15810.867,9796.0
12,15882.778,15873.957,15889.736,15851.931,5330.0
13,15873.957,15926.32,15940.847,15871.695,8648.0
14,15926.32,15911.687,15950.465,15910.795,7714.0
15,15898.523000000001,15932.532,15949.49,15895.473,3762.0
16,15932.532,15854.364,15935.41,15843.501,5678.0
17,15843.378999999999,15852.544,15858.063,15795.642,9152.0
18,15852.544,15892.367,15909.559,15840.273000000001,3488.0
19,15890.948999999999,15951.801000000001,16016.322,15890.948999999999,16244.0
20,15957.986,15947.803999999998,15979.613000000001,15935.722,4670.0
21,15953.99,15996.335,16001.101999999999,15953.931,8966.0
22,15996.335,16004.295,16052.661,15967.016000000001,9578.0
23,16005.882,15982.632,16013.738000000001,15982.632,5476.0
24,15982.632,15990.618999999999,15992.423,15949.532,4558.0
25,15989.161,15997.247,16005.475,15984.286,4762.0
26,15997.247,15980.591,16014.701000000001,15963.177,7874.0
27,15985.624,15991.111,15996.146,15980.591,1444.0
28,15996.143999999998,16009.576000000001,16029.652,15996.143999999998,2922.0
29,16009.576000000001,16012.059,16022.125,15990.537,4384.0
30,15968.149,16009.333999999999,16037.192,15952.291000000001,6122.0
31,16009.333999999999,15978.668,16010.806999999999,15963.64,3630.0
32,15978.668,15982.67,15999.321000000002,15965.112,2724.0
33,15982.67,16005.758,16024.293,15981.229,3504.0
34,16005.758,16113.583999999999,16150.565,16005.758,12832.0
35,16111.761,16079.237,16115.832,16078.046,3658.0
36,16079.237,16125.982,16133.871000000001,16076.403,5534.0
37,16125.917,16062.421,16133.482,16058.607,10028.0
38,16063.168,16017.161,16074.763,16000.903999999999,5822.0
39,16019.463,16041.691,16045.381000000001,16016.398000000001,2372.0
40,16041.691,16045.423999999999,16056.041000000001,16040.072,1656.0
41,16045.423999999999,16007.605,16071.603000000001,15999.141000000001,5284.0
42,16007.605,16029.322,16032.018999999998,16005.113000000001,1478.0
43,16026.83,16041.212,16041.212,16012.598999999998,3380.0
44,16046.785,16071.198999999999,16082.155,16046.785,3918.0
45,16035.061000000002,16044.56,16067.098,16034.243999999999,3272.0
46,16043.742,16071.415,16091.845,16042.303,3292.0
47,16069.976,16073.591999999999,16085.056,16056.178,2746.0
48,16073.591999999999,16105.006000000001,16115.098999999998,16071.336000000001,3752.0
49,16105.006000000001,16130.121000000001,16149.823,16096.118999999999,3300.0
50,16130.121000000001,16119.108,16130.121000000001,16110.419,1752.0
51,16126.782,16135.613000000001,16145.706,16115.555,1940.0
52,16132.985,16244.934,16279.427,16127.938,6932.0
53,16244.061000000002,16344.136999999999,16361.378999999999,16236.955,7298.0
54,16348.937,16356.88,16380.688,16332.743,10038.0
55,16356.88,16345.146999999999,16356.88,16321.893999999998,4584.0
56,16345.146999999999,16221.716999999999,16345.146999999999,16205.58,8510.0
57,16223.133,16277.024,16277.024,16211.723999999998,2642.0
58,16277.923999999999,16267.031,16277.923999999999,16252.368999999999,1278.0
59,16267.031,16270.88,16275.13,16254.685,2758.0
60,16217.222,16169.008,16232.578000000001,16165.628999999999,6832.0
61,16164.26,16141.538999999999,16167.19,16088.631000000001,6866.0
62,16140.66,16150.322,16168.935,16140.66,1550.0
63,16150.322,16240.888,16244.136,16137.961000000001,4352.0
64,16240.952,16266.698999999999,16292.343,16233.556,4808.0
65,16271.23,16269.816,16290.231000000002,16269.816,3828.0
66,16268.415,16214.796999999999,16271.521,16214.796999999999,3566.0
67,16214.796999999999,16173.148000000001,16234.957,16157.815,4144.0
68,16173.148000000001,16193.791000000001,16197.872,16169.066,912.0
69,16193.791000000001,16189.896,16202.448999999999,16172.073999999999,2570.0
70,16189.896,16277.013,16277.013,16179.636999999999,7248.0
71,16279.561000000002,16269.743,16330.028,16251.358999999999,7580.0
72,16269.743,16243.993999999999,16269.743,16232.264,2768.0
73,16243.993999999999,16234.062,16249.878,16226.38,1108.0
74,16238.704,16242.197,16248.87,16231.021999999999,4152.0
75,16269.831,16267.063999999998,16303.513,16254.73,2704.0
76,16267.063999999998,16292.094,16295.868999999999,16267.063999999998,1212.0
77,16292.094,16296.183,16301.149,16283.351999999999,1758.0
78,16296.183,16259.515,16296.183,16240.531,1466.0
79,16255.683,16262.148000000001,16262.148000000001,16244.715,1058.0
80,16262.148000000001,16264.264,16264.264,16261.982,440.0
81,16270.716999999999,16261.576000000001,16272.306999999999,16259.001,1608.0
82,16260.468,16216.576000000001,16285.642,16194.341,3504.0
83,16216.576000000001,16204.618,16219.021999999999,16204.618,1706.0
84,16204.618,16168.19,16209.758,16157.526000000002,3960.0
85,16169.319,16184.851999999999,16213.543,16165.47,2356.0
86,16184.719,16209.445,16229.402,16184.719,2030.0
87,16209.445,16209.282,16218.191,16205.707,1042.0
88,16209.282,16222.919,16222.919,16209.282,932.0
89,16222.919,16246.228000000001,16254.933,16213.02,2634.0
90,16418.73,16407.018,16538.32,16382.697,8374.0
91,16407.018,16419.815,16422.793,16398.471999999998,2052.0
92,16419.815,16408.898999999998,16424.379,16408.463,2458.0
93,16408.898999999998,16345.021,16414.741,16338.695,4960.0
94,16340.205,16348.768,16365.782,16333.878,1556.0
95,16348.768,16347.53,16358.688999999998,16342.506000000001,742.0
96,16357.354,16339.216,16359.008,16328.073999999999,2350.0
97,16339.216,16446.65,16500.148999999998,16339.216,7766.0
98,16446.65,16496.484,16526.953999999998,16439.703999999998,9942.0
99,16496.484,16488.501,16506.45,16459.415,5792.0
100,16488.501,16467.322,16493.381,16464.237,4356.0
101,16467.322,16505.486,16570.197,16434.627,12660.0
102,16505.486,16452.667,16510.718,16423.613999999998,5522.0
103,16452.667,16437.868000000002,16460.496,16416.077,6186.0
104,16437.868000000002,16413.78,16450.431,16398.901,4456.0
105,16466.323,16430.942,16466.323,16373.8,2950.0
106,16430.942,16414.965,16430.942,16403.142,2728.0
107,16414.965,16482.307,16482.307,16414.965,2574.0
108,16482.307,16522.69,16564.181,16443.247,7492.0
109,16513.892,16513.656000000003,16513.892,16472.182,5528.0
110,16514.227,16532.236,16567.5449,16501.776,10356.0
111,16532.236,16477.659,16532.236,16464.856,4584.0
112,16477.659,16576.03,16588.793,16431.3669,14296.0
113,16580.463,16547.943,16580.463,16529.511000000002,6456.0
114,16552.13,16536.606,16552.13,16512.416,3834.0
115,16536.606,16529.511000000002,16542.418,16529.511000000002,2474.0
116,16529.511000000002,16418.058,16545.035,16367.243999999999,8202.0
117,16418.058,16438.003,16451.805,16410.846,2816.0
118,16438.003,16430.99,16453.408,16426.866,1884.0
119,16430.99,16414.178,16435.215,16400.946,5978.0
120,16437.926,16475.612,16485.467,16437.926,3874.0
121,16474.234,16521.237,16544.396,16463.642,8018.0
122,16521.237,16507.496,16575.786,16503.8,9450.0
123,16507.496,16481.4559,16512.322,16470.596,4598.0
124,16480.074,16482.843999999997,16491.25,16466.623,3022.0
125,16482.843999999997,16466.63,16482.843999999997,16447.407,2302.0
126,16470.178,16477.863999999998,16485.06,16470.178,1952.0
127,16474.316000000003,16433.324,16474.316000000003,16424.3849,2394.0
128,16436.883,16422.173,16438.268,16408.721999999998,1734.0
129,16422.173,16427.1169,16430.718999999997,16422.173,684.0
130,16427.1169,16440.568,16444.127,16427.1169,1340.0
131,16440.568,16481.1699,16508.343,16440.568,3704.0
132,16481.1699,16471.371,16483.531000000003,16466.427,1616.0
133,16471.371,16473.57,16478.631999999998,16457.918999999998,1904.0
134,16473.57,16440.502,16476.388,16440.502,2438.0
135,16494.499,16500.055,16512.615,16484.405,3070.0
136,16500.055,16436.721,16513.596999999998,16421.333,3878.0
137,16438.116,16443.214,16460.193,16427.807,4166.0
138,16443.214,16557.98,16557.98,16443.214,6320.0
139,16561.115,16543.112,16587.775,16540.303,5852.0
140,16543.112,16538.323,16560.8839,16532.953,2028.0
141,16541.458,16541.639,16549.826,16528.038,2054.0
142,16541.639,16533.422,16552.952,16526.78,3190.0
143,16533.422,16534.745,16538.785,16524.907,808.0
144,16534.745,16531.435,16534.745,16526.073,1104.0
145,16530.721999999998,16538.951,16540.273,16523.255,1386.0
146,16540.273,16819.7599,16845.417,16540.273,20966.0
147,16827.1339,16848.686,16888.27,16817.657,18214.0
148,16844.234,16851.746,16891.521,16844.234,11840.0
149,16849.405,16946.061,16959.199,16846.926,16794.0
150,17018.601000000002,17081.113999999998,17128.091,17018.601000000002,35106.0
151,17085.917,16940.912,17090.9389,16931.183999999997,12780.0
152,16947.269,17049.346,17058.195,16864.46,20448.0
153,17049.346,17082.096999999998,17082.096999999998,16976.918999999998,17394.0
154,17080.549,16981.698,17084.811999999998,16963.586,10826.0
155,16985.658,16996.258,17002.811,16952.31,7516.0
156,16987.9919,16909.232,16990.029,16831.126,12452.0
157,16912.019,16902.201,16980.143,16882.718,12152.0
158,16900.2779,16806.648999999998,16908.406000000003,16794.238999999998,13560.0
159,16806.648999999998,16832.871,16843.682,16806.648999999998,5838.0
160,16830.925,16783.432,16832.871,16764.21,8302.0
161,16779.345,16822.727,16822.727,16711.716,9786.0
162,16832.987,16791.051,16866.035,16784.578999999998,7498.0
163,16787.083,16787.967,16797.616,16753.345,4624.0
164,16787.967,16785.586,16799.317,16770.497,5630.0
165,16871.103,16970.519,17006.053,16856.229,14878.0
166,16976.328999999998,16979.006,17073.442,16965.069,20346.0
167,16979.006,17023.773,17052.84,16976.881,8682.0
168,17023.773,16962.637,17065.958,16958.531000000003,18746.0
169,16960.03,16898.641,16960.03,16845.713,12278.0
170,16898.641,16975.9919,16978.933,16865.717,6892.0
171,16975.9919,17118.592,17158.69,16971.887,29042.0
172,17118.592,16991.091,17122.698,16913.745,16860.0
173,16978.272,16979.573,16999.572,16910.376,7694.0
174,16988.141,16880.773999999998,17002.342,16872.249,12214.0
175,16876.512,16757.677,16893.22,16545.641,22752.0
176,16763.036,16883.05,16948.606,16741.25,11014.0
177,16883.05,16892.03,16920.52,16829.797,4804.0
178,16892.03,16844.5269,16898.654,16824.034,4454.0
179,16845.666,16858.147,16874.525,16845.666,3602.0
