,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,1585698939.0
39,1585698939.0
40,1585698939.0
41,1585698939.0
42,1585698939.0
43,1585698939.0
44,1585698939.0
45,1585698939.0
46,1585698939.0
47,1591342039.0
48,1591342039.0
49,1591342039.0
50,1591342039.0
50,1591342039.0
52,1591342039.0
53,1591342039.0
54,1591342039.0
55,1591342039.0
56,1591342039.0
57,1591342039.0
58,1591342039.0
59,1591342039.0
60,1591342039.0
61,1601534089.0
62,1601534089.0
63,1601534089.0
64,1601534089.0
65,1601534089.0
66,1601534089.0
67,1601534089.0
68,1611984489.0
69,1611984489.0
70,1611984489.0
71,1611984489.0
72,1611984489.0
73,1611984489.0
74,1611984489.0
75,1611984489.0
76,1611984489.0
77,1611984489.0
78,1611984489.0
79,1611984489.0
80,1611984489.0
81,1611984489.0
82,1611984489.0
83,1611984489.0
84,1611984489.0
85,1611984489.0
86,1611984489.0
87,1611984489.0
88,1611984489.0
89,1611984489.0
90,1611984489.0
91,1611984489.0
92,1611984489.0
93,1611984489.0
94,1611984489.0
95,1611984489.0
96,1611984489.0
97,1611984489.0
98,1611984489.0
99,1611984489.0
100,1611984489.0
101,1611984489.0
102,1611984489.0
103,1611984489.0
104,1611984489.0
105,1671272239.0
106,1671272239.0
107,1671272239.0
108,1671272239.0
109,1696086439.0000014
110,1696086439.0000014
111,1696086439.0000014
112,1696086439.0000014
113,1696086439.0000014
114,1696086439.0000014
115,1701635689.0
116,1701635689.0
117,1701635689.0
118,1701635689.0
119,1701635689.0
120,1701635689.0
121,1701635689.0
122,1701635689.0
123,1701635689.0
124,1701635689.0
125,1701635689.0
126,1701635689.0
127,1701635689.0
128,1701635689.0
129,1701635689.0
130,1701635689.0
131,1701635689.0
132,1701635689.0
133,1701635689.0
134,1701635689.0
135,1701635689.0
136,1701635689.0
137,1701635689.0
138,1701635689.0
139,1701635689.0
140,1701635689.0
141,1701635689.0
142,1701635689.0
143,1701635689.0
144,1701635689.0
145,1701635689.0
146,1701635689.0
147,1701635689.0
148,1701635689.0
149,1701635689.0
150,1701635689.0
151,1701635689.0
152,1701635689.0
153,1701635689.0
154,1701635689.0
155,1888334488.999999
156,1888334488.999999
157,1888334488.999999
158,1888334488.999999
159,1888334488.999999
160,1792562788.999999
161,1792562788.999999
162,1792562788.999999
163,1792562788.999999
164,1792562788.999999
165,1886106288.999999
166,1886106288.999999
167,1886106288.999999
168,1886106288.999999
169,1886106288.999999
170,1886106288.999999
171,1886106288.999999
172,1886106288.999999
173,1886106288.999999
174,1886106288.999999
175,1886106288.999999
176,1886106288.999999
177,1886106288.999999
178,1886106288.999999
179,1886106288.999999
180,1886106288.999999
181,1886106288.999999
182,1886106288.999999
183,1886106288.999999
184,1886106288.999999
185,1886106288.999999
186,1886106288.999999
187,1886106288.999999
188,1886106288.999999
189,1886106288.999999
190,1886106288.999999
191,1886106288.999999
192,1736290138.999999
193,1736290138.999999
194,1736290138.999999
195,1713325638.999999
196,1713325638.999999
197,1713325638.999999
198,1713325638.999999
199,1713325638.999999
200,1733150838.999999
201,1733150838.999999
202,1733150838.999999
203,1733150838.999999
204,1730239638.999998
205,1730239638.999998
206,1730239638.999998
207,1743517588.999999
208,1743517588.999999
209,1743517588.999999
210,1743517588.999999
211,1743517588.999999
212,1743517588.999999
213,1743517588.999999
214,1743517588.999999
215,1743517588.999999
216,1743517588.999999
217,1743517588.999999
218,1743517588.999999
219,1743517588.999999
220,1743517588.999999
221,1743517588.999999
222,1743517588.999999
223,1743517588.999999
224,1743517588.999999
225,1743517588.999999
226,1743517588.999999
227,1743517588.999999
228,1743517588.999999
229,1743517588.999999
230,1743517588.999999
231,1743517588.999999
232,1743517588.999999
233,1743517588.999999
234,1743517588.999999
235,1743517588.999999
236,1743517588.999999
237,1743517588.999999
238,1743517588.999999
239,1743517588.999999
240,1743517588.999999
241,1743517588.999999
242,1774188388.999999
243,1774188388.999999
244,1774188388.999999
245,1774188388.999999
246,1774188388.999999
247,1774188388.999999
248,1774188388.999999
249,1774188388.999999
250,1774188388.999999
251,1774188388.999999
252,1774188388.999999
253,1774188388.999999
254,1774188388.999999
255,1774188388.999999
256,1774188388.999999
257,1774188388.999999
258,1774188388.999999
259,1730891988.999999
260,1730891988.999999
261,1730891988.999999
262,1730891988.999999
263,1730891988.999999
264,1730891988.999999
265,1730891988.999999
266,1730891988.999999
267,1730891988.999999
268,1730891988.999999
269,1730891988.999999
270,1730891988.999999
271,1730891988.999999
272,1730891988.999999
273,1730891988.999999
274,1747092888.999999
275,1747092888.999999
276,1747092888.999999
277,1747092888.999999
278,1747092888.999999
279,1747092888.999999
280,1747092888.999999
281,1747092888.999999
282,1747092888.999999
283,1747092888.999999
284,1747092888.999999
285,1747092888.999999
286,1747092888.999999
287,1747092888.999999
288,1747092888.999999
289,1747092888.999999
290,1747092888.999999
291,1747092888.999999
292,1747092888.999999
293,1747092888.999999
294,1747092888.999999
295,1747092888.999999
296,1747092888.999999
297,1747092888.999999
298,1747092888.999999
299,1760223889.0
300,1760223889.0
301,1760223889.0
302,1760223889.0
303,1760223889.0
304,1760223889.0
305,1760223889.0
306,1760223889.0
307,1760223889.0
308,1760223889.0
309,1760223889.0
310,1760223889.0
311,1760223889.0
312,1760223889.0
313,1760223889.0
314,1760223889.0
315,1760223889.0
316,1760223889.0
317,1760223889.0
318,1733858388.999999
319,1733858388.999999
320,1733858388.999999
321,1733858388.999999
322,1733858388.999999
323,1733858388.999999
324,1733858388.999999
325,1733858388.999999
326,1733858388.999999
327,1733858388.999999
328,1712833138.999999
329,1712833138.999999
330,1712833138.999999
331,1712833138.999999
332,1712833138.999999
333,1712833138.999999
334,1712833138.999999
335,1712833138.999999
336,1712833138.999999
337,1712833138.999999
338,1712833138.999999
339,1712833138.999999
340,1714830338.9999995
341,1714830338.9999995
342,1714830338.9999995
343,1714830338.9999995
344,1714830338.9999995
345,1714830338.9999995
346,1714830338.9999995
347,1714830338.9999995
348,1714830338.9999995
349,1714830338.9999995
350,1718877038.999999
351,1718877038.999999
352,1718877038.999999
353,1718877038.999999
354,1718877038.999999
355,1718877038.999999
356,1718877038.999999
357,1718877038.999999
358,1718877038.999999
359,1718877038.999999
360,1718877038.999999
361,1718877038.999999
362,1718877038.999999
363,1718877038.999999
364,1718877038.999999
365,1718877038.999999
366,1718877038.999999
367,1718877038.999999
368,1718877038.999999
369,1718877038.999999
