future_code
AG8888.XSGE
AL8888.XSGE
AU8888.XSGE
BU8888.XSGE
CU8888.XSGE
FU8888.XSGE
HC8888.XSGE
NI8888.XSGE
PB8888.XSGE
RB8888.XSGE
RU8888.XSGE
SN8888.XSGE
WR8888.XSGE
ZN8888.XSGE
SP8888.XSGE
